cbcl_q06_p,cbcl_q07_p,cbcl_q15_p,cbcl_q24_p,cbcl_q44_p,cbcl_q53_p,cbcl_q55_p,cbcl_q56h_p,cbcl_q74_p,cbcl_q77_p,cbcl_q93_p,cbcl_q98_p,cbcl_q107_p,cbcl_q108_p,cbcl_q109_p,cbcl_q110_p,Count
0,0,0,1,0,1,0,0,0,0,2,0,1,2,1,0,1
0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
0,0,0,1,0,1,0,0,1,1,2,0,0,0,1,0,1
0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,7
0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,1
0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,3
0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1
0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0,1
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1
0,0,0,1,0,1,1,0,0,1,1,0,0,2,1,0,1
0,0,0,1,0,1,1,0,0,1,1,0,1,2,2,0,1
0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1
0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,3
0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1
0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1
0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,1
0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,3
0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,1
0,0,0,1,0,1,2,0,0,0,1,0,0,0,1,0,1
0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1
0,0,0,1,0,1,2,0,1,0,2,0,0,1,1,0,1
0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,1
0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,2,1,0,2,0,0,0,0,0,2,0,1
0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,2,2,0,0,0,1,0,0,1,1,0,1
0,0,0,1,0,2,2,0,0,0,2,0,0,0,1,0,1
0,0,0,1,0,2,2,0,1,1,1,0,0,0,0,0,1
0,0,0,1,0,2,2,0,2,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,87
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,20
0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2
0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1
0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,1
0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1
0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1
0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1
0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,21
0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,14
0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,4
0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1
0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,2
0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1
0,0,0,1,1,0,0,0,0,0,2,0,0,2,1,0,1
0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4
0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1
0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,1
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,17
0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,9
0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1
0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2
0,0,0,1,1,0,0,0,1,0,0,0,0,2,1,0,1
0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,9
0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,5
0,0,0,1,1,0,0,0,1,0,1,0,0,0,2,0,1
0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1
0,0,0,1,1,0,0,0,1,0,1,0,0,2,1,0,1
0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,2
0,0,0,1,1,0,0,0,1,0,2,0,0,0,1,0,3
0,0,0,1,1,0,0,0,1,0,2,0,1,0,2,0,1
0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1
0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1
0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1
0,0,0,1,1,0,0,0,1,1,2,0,0,0,1,0,1
0,0,0,1,1,0,0,0,1,1,2,0,1,1,1,0,1
0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,2
0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,2
0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,0,1
0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,1
0,0,0,1,1,0,0,0,2,0,2,0,0,1,0,0,1
0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,1
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2
0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,2
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1
0,0,0,1,1,0,0,1,1,2,2,0,0,0,1,0,1
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2
0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1
0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,2,0,0,0,1,2,0,0,0,0,1
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2
0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,2
0,0,0,1,1,1,0,0,0,0,1,0,0,0,2,0,1
0,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,1
0,0,0,1,1,1,0,0,0,0,2,0,0,0,1,0,1
0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1
0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1
0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1
0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1
0,0,0,1,1,1,0,1,1,0,2,0,0,0,1,0,1
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3
0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1
0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,2
0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1
0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1
0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1
0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1
0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,2
0,0,0,1,1,2,0,0,2,0,1,0,0,0,0,0,1
0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,2,2,0,0,0,0,0,0,0,1,0,1
0,0,0,1,1,2,2,0,0,0,1,0,0,0,0,0,2
0,0,0,1,1,2,2,0,0,0,1,0,0,0,1,0,1
0,0,0,1,1,2,2,0,0,0,1,0,0,1,1,0,1
0,0,0,1,1,2,2,0,2,1,1,0,0,0,0,1,1
0,0,0,1,1,2,2,1,1,2,1,0,0,0,0,0,1
0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,39
0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,12
0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,3
0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,2
0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,1
0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0,2
0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,1
0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,15
0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,5
0,0,0,1,2,0,0,0,0,0,1,0,0,0,2,0,1
0,0,0,1,2,0,0,0,0,0,1,0,0,1,1,0,1
0,0,0,1,2,0,0,0,0,0,1,0,0,1,2,0,1
0,0,0,1,2,0,0,0,0,0,1,0,1,0,1,0,1
0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,2
0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,3
0,0,0,1,2,0,0,0,0,0,2,0,0,2,1,0,1
0,0,0,1,2,0,0,0,0,0,2,2,0,2,1,0,1
0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1
0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,2
0,0,0,1,2,0,0,0,0,1,1,0,0,0,1,0,1
0,0,0,1,2,0,0,0,0,1,1,0,0,2,1,0,1
0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,1
0,0,0,1,2,0,0,0,0,2,1,0,0,0,1,0,1
0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,8
0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,8
0,0,0,1,2,0,0,0,1,0,0,0,0,2,1,0,1
0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,2,0,0,0,1,0,0,2,0,0,1,0,1
0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,8
0,0,0,1,2,0,0,0,1,0,1,0,0,0,1,0,5
0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,2,0,0,0,1,0,1,0,0,1,1,0,1
0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,1
0,0,0,1,2,0,0,0,1,0,2,0,0,2,1,0,1
0,0,0,1,2,0,0,0,1,0,2,1,0,0,1,0,1
0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,2
0,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,1
0,0,0,1,2,0,0,0,1,1,2,0,0,0,0,0,1
0,0,0,1,2,0,0,0,1,2,1,0,0,1,0,0,1
0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,1
0,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,1
0,0,0,1,2,0,0,0,2,0,1,0,0,0,1,0,1
0,0,0,1,2,0,0,0,2,0,2,0,0,0,0,0,1
0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,2
0,0,0,1,2,0,0,2,2,0,2,0,0,0,1,0,1
0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,3
0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,2
0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,1
0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,2
0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1
0,0,0,1,2,1,0,0,1,0,1,0,0,0,0,0,1
0,0,0,1,2,1,0,0,1,0,1,0,0,0,2,0,1
0,0,0,1,2,1,0,0,1,1,1,0,0,0,0,0,1
0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,0,1
0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,1
0,0,0,1,2,1,1,0,0,0,0,0,0,2,1,0,1
0,0,0,1,2,1,1,0,0,0,1,0,0,0,1,0,1
0,0,0,1,2,1,1,0,0,0,1,1,1,0,1,0,1
0,0,0,1,2,1,1,0,0,2,0,0,0,0,1,0,1
0,0,0,1,2,1,1,0,0,2,1,0,0,0,0,0,1
0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,2
0,0,0,1,2,1,2,0,0,1,0,0,0,0,1,0,1
0,0,0,1,2,1,2,0,0,1,1,0,0,0,0,0,1
0,0,0,1,2,1,2,0,1,1,1,0,0,0,1,0,1
0,0,0,1,2,1,2,0,2,0,1,0,0,0,2,0,1
0,0,0,1,2,1,2,1,1,0,1,0,0,0,0,0,1
0,0,0,1,2,2,0,0,2,0,2,2,0,2,0,0,1
0,0,0,1,2,2,1,2,1,0,0,0,0,0,1,0,1
0,0,0,1,2,2,2,0,0,0,1,0,0,0,0,0,1
0,0,0,1,2,2,2,0,0,0,1,0,0,0,2,0,1
0,0,0,1,2,2,2,0,1,0,0,0,0,0,2,0,1
0,0,0,1,2,2,2,0,1,0,1,0,0,0,1,0,1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5
0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,5
0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2
0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,3
0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,2
0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,10
0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,1
0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,0,2,0,0,1,1,0,2
0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2
0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1
0,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,1
0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1
0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4
0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,6
0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,1
0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1
0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,2
0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,1
0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,1
0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,1
0,0,0,2,0,0,0,0,1,0,2,0,0,0,2,0,1
0,0,0,2,0,0,0,0,1,0,2,0,1,2,0,0,1
0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1
0,0,0,2,0,0,0,0,1,1,1,0,0,0,1,0,1
0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1
0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1
0,0,0,2,0,0,0,0,2,0,1,0,0,0,2,0,1
0,0,0,2,0,0,0,0,2,0,2,0,0,0,2,0,1
0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,1
0,0,0,2,0,0,0,0,2,2,1,0,0,0,1,0,1
0,0,0,2,0,0,0,1,0,0,0,0,0,1,2,0,1
0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,2,0,0,1,0,1,0,2,0,0,0,1,0,1
0,0,0,2,0,0,2,0,0,0,1,0,0,0,1,0,1
0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,1
0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,1
0,0,0,2,0,1,1,0,1,0,2,0,2,0,1,0,1
0,0,0,2,0,2,1,0,1,0,1,0,0,2,0,0,1
0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,1
0,0,0,2,0,2,2,0,0,0,0,0,0,0,1,0,2
0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,0,1
0,0,0,2,0,2,2,0,0,0,1,2,0,0,2,0,1
0,0,0,2,0,2,2,0,0,1,1,0,0,0,0,0,1
0,0,0,2,0,2,2,0,1,0,1,0,0,0,2,0,1
0,0,0,2,0,2,2,0,1,1,1,0,0,0,0,0,1
0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1
0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,1
0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2
0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,2
0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1,1
0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,2
0,0,0,2,1,0,0,0,0,0,1,0,0,1,1,0,1
0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1
0,0,0,2,1,0,0,0,0,0,2,0,0,0,2,0,1
0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2
0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1
0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,2,1,0,0,0,1,0,1,0,0,0,2,0,1
0,0,0,2,1,0,0,0,1,0,2,1,0,0,0,0,1
0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,0,1
0,0,0,2,1,0,0,0,2,0,0,1,0,0,1,0,1
0,0,0,2,1,0,0,0,2,1,0,1,0,1,1,0,1
0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,1
0,0,0,2,1,0,2,0,1,0,2,0,0,2,1,0,1
0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,1
0,0,0,2,1,1,1,0,1,1,1,0,0,0,0,0,1
0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,1
0,0,0,2,1,1,2,0,0,0,1,0,0,0,0,0,1
0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,1
0,0,0,2,1,2,2,0,1,0,1,0,1,0,0,0,1
0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,4
0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,2
0,0,0,2,2,0,0,0,0,0,0,0,1,2,1,0,1
0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,3
0,0,0,2,2,0,0,0,0,0,1,0,0,2,1,0,1
0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,1
0,0,0,2,2,0,0,0,0,0,2,0,0,0,1,0,2
0,0,0,2,2,0,0,0,0,0,2,0,0,0,1,1,1
0,0,0,2,2,0,0,0,0,0,2,0,0,1,1,0,1
0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,1
0,0,0,2,2,0,0,0,0,2,2,0,2,2,0,2,1
0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,2
0,0,0,2,2,0,0,0,1,0,0,0,0,2,1,0,1
0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,2,2,0,0,0,1,0,1,0,0,0,1,0,4
0,0,0,2,2,0,0,0,1,0,1,0,0,0,2,0,1
0,0,0,2,2,0,0,0,1,0,2,0,0,0,0,0,1
0,0,0,2,2,0,0,0,1,0,2,0,0,0,1,0,1
0,0,0,2,2,0,0,0,1,0,2,0,1,1,0,0,1
0,0,0,2,2,0,0,0,1,1,0,0,0,0,1,0,1
0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,1
0,0,0,2,2,0,0,0,2,0,2,2,0,2,0,0,1
0,0,0,2,2,0,0,1,1,0,1,0,0,1,1,0,1
0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1
0,0,0,2,2,0,1,0,1,0,1,0,0,0,1,0,1
0,0,0,2,2,1,0,0,1,0,0,0,0,0,1,0,1
0,0,0,2,2,1,1,0,0,1,1,0,0,0,1,0,1
0,0,0,2,2,1,1,0,1,0,2,0,0,0,1,0,1
0,0,0,2,2,1,2,0,1,0,0,0,0,0,1,0,1
0,0,0,2,2,1,2,0,1,0,2,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3
0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1
0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,2,1,0,2,0,0,0,0,1,2,0,1
0,0,1,0,0,2,2,0,1,1,0,0,0,0,0,0,1
0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1
0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1
0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1
0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1
0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1
0,0,1,0,1,1,2,0,1,0,2,0,0,1,1,0,1
0,0,1,0,2,0,0,0,0,1,1,0,0,0,1,0,1
0,0,1,0,2,0,0,0,1,0,0,0,0,1,2,0,1
0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,1
0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,1
0,0,1,0,2,1,1,0,1,0,0,0,0,1,0,0,1
0,0,1,0,2,1,1,0,1,0,2,0,0,0,1,0,1
0,0,1,0,2,2,1,0,1,0,1,0,0,0,2,0,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,1,2,0,2,0,0,0,1
0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1
0,0,1,1,0,1,1,0,0,0,1,0,0,0,2,0,1
0,0,1,1,0,1,1,0,1,2,2,0,0,0,1,0,1
0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1
0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,1
0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,1
0,0,2,2,0,0,0,0,1,0,2,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8
0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2
0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,40
0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1
0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8
0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2
0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3
0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,137
